model,group,median_first_passage,q3_first_passage,mean_not_reached_fraction,minimum_not_reached_fraction,maximum_not_reached_fraction,not_reached_tolerance,thresholds,minimum_threshold,maximum_threshold
18,3,2.0,2.0,0.04109589041095896,0.04109589041095896,0.04109589041095896,0.02,"7,8,9",7,9
18,4,2.0,3.0,0.06849315068493156,0.06849315068493156,0.06849315068493156,0.02,10,10,10
18,5,3.0,3.0,0.06849315068493156,0.06849315068493156,0.06849315068493156,0.02,"11,12",11,12
18,6,3.0,4.0,0.1095890410958904,0.1095890410958904,0.1095890410958904,0.02,"13,14",13,14
18,7,4.0,4.0,0.1095890410958904,0.1095890410958904,0.1095890410958904,0.02,15,15,15
18,8,4.0,5.0,0.15068493150684936,0.15068493150684936,0.15068493150684936,0.02,16,16,16
18,9,5.0,5.0,0.15068493150684936,0.15068493150684936,0.15068493150684936,0.02,17,17,17
18,10,5.0,6.0,0.17808219178082196,0.17808219178082196,0.17808219178082196,0.02,18,18,18
18,11,nie,nie,1.0,1.0,1.0,0.02,19,19,19
19,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
19,2,1.0,1.0,0.02985074626865669,0.02985074626865669,0.02985074626865669,0.02,"4,5",4,5
19,3,2.0,2.0,0.02985074626865669,0.02985074626865669,0.02985074626865669,0.02,6,6,6
19,4,2.0,2.0,0.05970149253731338,0.05970149253731338,0.05970149253731338,0.02,"7,8",7,8
19,5,2.0,3.0,0.05970149253731338,0.05970149253731338,0.05970149253731338,0.02,9,9,9
19,6,2.0,3.0,0.08955223880597019,0.08955223880597019,0.08955223880597019,0.02,10,10,10
19,7,3.0,3.0,0.08955223880597019,0.08955223880597019,0.08955223880597019,0.02,"11,12",11,12
19,8,3.0,4.0,0.11940298507462688,0.11940298507462688,0.11940298507462688,0.02,13,13,13
19,9,4.0,4.0,0.11940298507462688,0.11940298507462688,0.11940298507462688,0.02,14,14,14
19,10,4.0,5.0,0.11940298507462688,0.11940298507462688,0.11940298507462688,0.02,15,15,15
19,11,5.0,5.0,0.16417910447761197,0.16417910447761197,0.16417910447761197,0.02,16,16,16
19,12,5.0,6.0,0.16417910447761197,0.16417910447761197,0.16417910447761197,0.02,17,17,17
19,13,6.0,6.75,0.19402985074626866,0.19402985074626866,0.19402985074626866,0.02,18,18,18
19,14,nie,nie,1.0,1.0,1.0,0.02,19,19,19
20,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
20,2,1.0,1.0,0.020408163265306145,0.020408163265306145,0.020408163265306145,0.02,"4,5",4,5
20,3,2.0,2.0,0.020408163265306145,0.020408163265306145,0.020408163265306145,0.02,6,6,6
20,4,2.0,2.0,0.04081632653061229,0.04081632653061229,0.04081632653061229,0.02,"7,8",7,8
20,5,2.0,2.5,0.04081632653061229,0.04081632653061229,0.04081632653061229,0.02,9,9,9
20,6,2.0,3.0,0.061224489795918324,0.061224489795918324,0.061224489795918324,0.02,10,10,10
20,7,3.0,3.0,0.061224489795918324,0.061224489795918324,0.061224489795918324,0.02,"11,12",11,12
20,8,3.0,4.0,0.08163265306122447,0.08163265306122447,0.08163265306122447,0.02,13,13,13
20,9,4.0,4.0,0.08163265306122447,0.08163265306122447,0.08163265306122447,0.02,14,14,14
20,10,4.0,5.0,0.10204081632653061,0.10204081632653061,0.10204081632653061,0.02,15,15,15
20,11,5.0,5.75,0.1428571428571429,0.1428571428571429,0.1428571428571429,0.02,16,16,16
20,12,5.0,6.0,0.1428571428571429,0.1428571428571429,0.1428571428571429,0.02,17,17,17
20,13,6.0,7.0,0.18367346938775508,0.18367346938775508,0.18367346938775508,0.02,18,18,18
20,14,nie,nie,1.0,1.0,1.0,0.02,19,19,19
21,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
21,2,1.0,1.0,0.02777777777777779,0.02777777777777779,0.02777777777777779,0.02,"4,5",4,5
21,3,2.0,2.0,0.02777777777777779,0.02777777777777779,0.02777777777777779,0.02,6,6,6
21,4,2.0,2.0,0.05555555555555558,0.05555555555555558,0.05555555555555558,0.02,"7,8,9",7,9
21,5,2.0,3.0,0.09722222222222221,0.09722222222222221,0.09722222222222221,0.02,10,10,10
21,6,3.0,3.0,0.09722222222222221,0.09722222222222221,0.09722222222222221,0.02,"11,12",11,12
21,7,3.0,4.0,0.125,0.125,0.125,0.02,13,13,13
21,8,4.0,4.0,0.125,0.125,0.125,0.02,14,14,14
21,9,4.0,5.0,0.125,0.125,0.125,0.02,15,15,15
21,10,5.0,6.0,0.18055555555555558,0.18055555555555558,0.18055555555555558,0.02,16,16,16
21,11,6.0,6.0,0.20833333333333337,0.20833333333333337,0.20833333333333337,0.02,17,17,17
21,12,7.0,7.0,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.02,18,18,18
21,13,nie,nie,1.0,1.0,1.0,0.02,19,19,19
22,1,1.0,1.0,0.00362318840579709,0.0,0.01449275362318836,0.02,"1,2,3,4",1,4
22,2,1.0,2.0,0.01449275362318836,0.01449275362318836,0.01449275362318836,0.02,5,5,5
22,3,2.0,2.0,0.01449275362318836,0.01449275362318836,0.01449275362318836,0.02,6,6,6
22,4,2.0,2.0,0.04347826086956519,0.04347826086956519,0.04347826086956519,0.02,"7,8",7,8
22,5,2.0,3.0,0.04347826086956519,0.04347826086956519,0.04347826086956519,0.02,9,9,9
22,6,3.0,3.0,0.07246376811594202,0.07246376811594202,0.07246376811594202,0.02,"10,11",10,11
22,7,3.0,4.0,0.07246376811594202,0.07246376811594202,0.07246376811594202,0.02,12,12,12
22,8,4.0,4.0,0.13043478260869568,0.13043478260869568,0.13043478260869568,0.02,13,13,13
22,9,4.0,5.0,0.13043478260869568,0.13043478260869568,0.13043478260869568,0.02,14,14,14
22,10,5.0,5.0,0.14492753623188404,0.14492753623188404,0.14492753623188404,0.02,15,15,15
22,11,5.0,6.0,0.18840579710144922,0.18840579710144922,0.18840579710144922,0.02,16,16,16
22,12,6.0,7.0,0.21739130434782605,0.21739130434782605,0.21739130434782605,0.02,17,17,17
22,13,7.0,8.0,0.2753623188405797,0.2753623188405797,0.2753623188405797,0.02,18,18,18
22,14,nie,nie,1.0,1.0,1.0,0.02,19,19,19
23,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
23,2,1.0,1.0,0.0273972602739726,0.0273972602739726,0.0273972602739726,0.02,"4,5",4,5
23,3,2.0,2.0,0.0273972602739726,0.0273972602739726,0.0273972602739726,0.02,6,6,6
23,4,2.0,2.0,0.0547945205479452,0.0547945205479452,0.0547945205479452,0.02,"7,8",7,8
23,5,2.0,3.0,0.0547945205479452,0.0547945205479452,0.0547945205479452,0.02,9,9,9
23,6,2.0,3.0,0.0821917808219178,0.0821917808219178,0.0821917808219178,0.02,10,10,10
23,7,3.0,3.0,0.0821917808219178,0.0821917808219178,0.0821917808219178,0.02,11,11,11
23,8,3.0,3.5,0.0821917808219178,0.0821917808219178,0.0821917808219178,0.02,12,12,12
23,9,3.0,4.0,0.12328767123287676,0.12328767123287676,0.12328767123287676,0.02,13,13,13
23,10,4.0,4.0,0.12328767123287676,0.12328767123287676,0.12328767123287676,0.02,14,14,14
23,11,4.0,5.0,0.136986301369863,0.136986301369863,0.136986301369863,0.02,15,15,15
23,12,4.0,5.0,0.1917808219178082,0.1917808219178082,0.1917808219178082,0.02,16,16,16
23,13,5.0,6.0,0.1917808219178082,0.1917808219178082,0.1917808219178082,0.02,17,17,17
23,14,6.0,6.0,0.23287671232876717,0.23287671232876717,0.23287671232876717,0.02,18,18,18
23,15,nie,nie,1.0,1.0,1.0,0.02,19,19,19
24,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
24,2,1.0,1.0,0.025316455696202556,0.025316455696202556,0.025316455696202556,0.02,"4,5",4,5
24,3,2.0,2.0,0.025316455696202556,0.025316455696202556,0.025316455696202556,0.02,6,6,6
24,4,2.0,2.0,0.06329113924050633,0.06329113924050633,0.06329113924050633,0.02,"7,8",7,8
24,5,2.0,3.0,0.06329113924050633,0.06329113924050633,0.06329113924050633,0.02,9,9,9
24,6,2.0,3.0,0.10126582278481011,0.10126582278481011,0.10126582278481011,0.02,10,10,10
24,7,3.0,3.0,0.10126582278481011,0.10126582278481011,0.10126582278481011,0.02,"11,12",11,12
24,8,3.0,4.0,0.12658227848101267,0.12658227848101267,0.12658227848101267,0.02,13,13,13
24,9,4.0,4.0,0.12658227848101267,0.12658227848101267,0.12658227848101267,0.02,14,14,14
24,10,4.0,5.0,0.12658227848101267,0.12658227848101267,0.12658227848101267,0.02,15,15,15
24,11,4.0,5.0,0.15189873417721522,0.15189873417721522,0.15189873417721522,0.02,16,16,16
24,12,5.0,5.5,0.15189873417721522,0.15189873417721522,0.15189873417721522,0.02,17,17,17
24,13,6.0,6.0,0.17721518987341767,0.17721518987341767,0.17721518987341767,0.02,18,18,18
24,14,nie,nie,1.0,1.0,1.0,0.02,19,19,19
25,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
25,2,1.0,1.0,0.02777777777777779,0.02777777777777779,0.02777777777777779,0.02,"4,5",4,5
25,3,1.0,2.0,0.02777777777777779,0.02777777777777779,0.02777777777777779,0.02,6,6,6
25,4,2.0,2.0,0.05555555555555558,0.05555555555555558,0.05555555555555558,0.02,"7,8,9",7,9
25,5,2.0,3.0,0.08333333333333337,0.08333333333333337,0.08333333333333337,0.02,10,10,10
25,6,3.0,3.0,0.08333333333333337,0.08333333333333337,0.08333333333333337,0.02,"11,12",11,12
25,7,3.0,4.0,0.11111111111111116,0.11111111111111116,0.11111111111111116,0.02,"13,14",13,14
25,8,4.0,5.0,0.11111111111111116,0.11111111111111116,0.11111111111111116,0.02,15,15,15
25,9,4.0,5.0,0.13888888888888884,0.13888888888888884,0.13888888888888884,0.02,16,16,16
25,10,4.0,5.75,0.13888888888888884,0.13888888888888884,0.13888888888888884,0.02,17,17,17
25,11,5.0,6.0,0.16666666666666663,0.16666666666666663,0.16666666666666663,0.02,18,18,18
25,12,nie,nie,1.0,1.0,1.0,0.02,19,19,19
26,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
26,2,1.0,1.0,0.032786885245901676,0.032786885245901676,0.032786885245901676,0.02,"4,5",4,5
26,3,1.0,2.0,0.032786885245901676,0.032786885245901676,0.032786885245901676,0.02,6,6,6
26,4,2.0,2.0,0.049180327868852514,0.049180327868852514,0.049180327868852514,0.02,"7,8,9",7,9
26,5,2.0,3.0,0.06557377049180324,0.06557377049180324,0.06557377049180324,0.02,10,10,10
26,6,3.0,3.0,0.06557377049180324,0.06557377049180324,0.06557377049180324,0.02,"11,12",11,12
26,7,3.0,4.0,0.09836065573770492,0.09836065573770492,0.09836065573770492,0.02,13,13,13
26,8,4.0,4.0,0.09836065573770492,0.09836065573770492,0.09836065573770492,0.02,14,14,14
26,9,4.0,5.0,0.09836065573770492,0.09836065573770492,0.09836065573770492,0.02,15,15,15
26,10,4.0,5.0,0.14754098360655743,0.14754098360655743,0.14754098360655743,0.02,16,16,16
26,11,5.0,5.25,0.14754098360655743,0.14754098360655743,0.14754098360655743,0.02,17,17,17
26,12,6.0,6.0,0.180327868852459,0.180327868852459,0.180327868852459,0.02,18,18,18
26,13,nie,nie,1.0,1.0,1.0,0.02,19,19,19
27,1,1.0,1.0,0.00512820512820511,0.0,0.012820512820512775,0.02,"1,2,3,4,5",1,5
27,2,2.0,2.0,0.012820512820512775,0.012820512820512775,0.012820512820512775,0.02,6,6,6
27,3,2.0,2.0,0.038461538461538436,0.038461538461538436,0.038461538461538436,0.02,"7,8,9",7,9
27,4,2.0,3.0,0.07692307692307687,0.07692307692307687,0.07692307692307687,0.02,10,10,10
27,5,3.0,3.0,0.07692307692307687,0.07692307692307687,0.07692307692307687,0.02,"11,12",11,12
27,6,3.0,4.0,0.11538461538461542,0.11538461538461542,0.11538461538461542,0.02,13,13,13
27,7,4.0,4.0,0.11538461538461542,0.11538461538461542,0.11538461538461542,0.02,14,14,14
27,8,4.0,5.0,0.11538461538461542,0.11538461538461542,0.11538461538461542,0.02,15,15,15
27,9,4.0,5.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.02,16,16,16
27,10,5.0,6.0,0.16666666666666663,0.16666666666666663,0.16666666666666663,0.02,17,17,17
27,11,6.0,7.0,0.1923076923076923,0.1923076923076923,0.1923076923076923,0.02,18,18,18
27,12,nie,nie,1.0,1.0,1.0,0.02,19,19,19
28,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
28,2,1.0,1.0,0.02941176470588236,0.02941176470588236,0.02941176470588236,0.02,"4,5",4,5
28,3,1.0,2.0,0.02941176470588236,0.02941176470588236,0.02941176470588236,0.02,6,6,6
28,4,2.0,2.0,0.0625,0.05882352941176472,0.07352941176470584,0.02,"7,8,9,10",7,10
28,5,3.0,3.0,0.07352941176470584,0.07352941176470584,0.07352941176470584,0.02,"11,12",11,12
28,6,3.0,3.0,0.1029411764705882,0.1029411764705882,0.1029411764705882,0.02,13,13,13
28,7,3.0,4.0,0.1029411764705882,0.1029411764705882,0.1029411764705882,0.02,14,14,14
28,8,4.0,4.0,0.1029411764705882,0.1029411764705882,0.1029411764705882,0.02,15,15,15
28,9,4.0,4.5,0.13235294117647056,0.13235294117647056,0.13235294117647056,0.02,16,16,16
28,10,4.0,5.0,0.13235294117647056,0.13235294117647056,0.13235294117647056,0.02,17,17,17
28,11,5.0,6.0,0.16176470588235292,0.16176470588235292,0.16176470588235292,0.02,18,18,18
28,12,nie,nie,1.0,1.0,1.0,0.02,19,19,19
29,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
29,2,1.0,1.0,0.030303030303030276,0.030303030303030276,0.030303030303030276,0.02,4,4,4
29,3,1.0,2.0,0.030303030303030276,0.030303030303030276,0.030303030303030276,0.02,5,5,5
29,4,2.0,2.0,0.030303030303030276,0.030303030303030276,0.030303030303030276,0.02,6,6,6
29,5,2.0,2.0,0.06060606060606055,0.06060606060606055,0.06060606060606055,0.02,"7,8",7,8
29,6,2.0,3.0,0.06060606060606055,0.06060606060606055,0.06060606060606055,0.02,9,9,9
29,7,2.0,3.0,0.10606060606060608,0.10606060606060608,0.10606060606060608,0.02,10,10,10
29,8,3.0,3.0,0.10606060606060608,0.10606060606060608,0.10606060606060608,0.02,"11,12",11,12
29,9,3.0,4.0,0.1515151515151515,0.1515151515151515,0.1515151515151515,0.02,13,13,13
29,10,4.0,4.0,0.1515151515151515,0.1515151515151515,0.1515151515151515,0.02,14,14,14
29,11,4.0,5.0,0.16666666666666663,0.16666666666666663,0.16666666666666663,0.02,15,15,15
29,12,5.0,5.0,0.21212121212121215,0.21212121212121215,0.21212121212121215,0.02,16,16,16
29,13,5.0,6.0,0.2272727272727273,0.2272727272727273,0.2272727272727273,0.02,17,17,17
29,14,6.0,6.0,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.02,18,18,18
29,15,nie,nie,1.0,1.0,1.0,0.02,19,19,19
30,1,1.0,1.0,0.006153846153846132,0.0,0.01538461538461533,0.02,"1,2,3,4,5",1,5
30,2,2.0,2.0,0.01538461538461533,0.01538461538461533,0.01538461538461533,0.02,6,6,6
30,3,2.0,2.0,0.0461538461538461,0.0461538461538461,0.0461538461538461,0.02,"7,8",7,8
30,4,2.0,3.0,0.0461538461538461,0.0461538461538461,0.0461538461538461,0.02,9,9,9
30,5,3.0,3.0,0.09230769230769231,0.09230769230769231,0.09230769230769231,0.02,"10,11,12",10,12
30,6,3.0,4.0,0.1384615384615384,0.1384615384615384,0.1384615384615384,0.02,13,13,13
30,7,4.0,4.0,0.1384615384615384,0.1384615384615384,0.1384615384615384,0.02,14,14,14
30,8,4.0,5.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.02,15,15,15
30,9,5.0,6.0,0.18461538461538463,0.18461538461538463,0.18461538461538463,0.02,16,16,16
30,10,6.0,6.0,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.02,17,17,17
30,11,6.0,7.0,0.2153846153846154,0.2153846153846154,0.2153846153846154,0.02,18,18,18
30,12,nie,nie,1.0,1.0,1.0,0.02,19,19,19
31,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
31,2,1.0,1.0,0.02898550724637683,0.02898550724637683,0.02898550724637683,0.02,"4,5",4,5
31,3,1.0,2.0,0.02898550724637683,0.02898550724637683,0.02898550724637683,0.02,6,6,6
31,4,2.0,2.0,0.04347826086956519,0.04347826086956519,0.04347826086956519,0.02,"7,8,9",7,9
31,5,2.0,3.0,0.05797101449275366,0.05797101449275366,0.05797101449275366,0.02,10,10,10
31,6,3.0,3.0,0.05797101449275366,0.05797101449275366,0.05797101449275366,0.02,"11,12",11,12
31,7,3.0,4.0,0.08695652173913049,0.08695652173913049,0.08695652173913049,0.02,"13,14",13,14
31,8,4.0,4.0,0.08695652173913049,0.08695652173913049,0.08695652173913049,0.02,15,15,15
31,9,4.0,5.0,0.13043478260869568,0.13043478260869568,0.13043478260869568,0.02,16,16,16
31,10,5.0,5.0,0.14492753623188404,0.14492753623188404,0.14492753623188404,0.02,17,17,17
31,11,5.0,6.0,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.02,18,18,18
31,12,nie,nie,1.0,1.0,1.0,0.02,19,19,19
32,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
32,2,1.0,1.0,0.02631578947368418,0.02631578947368418,0.02631578947368418,0.02,"4,5",4,5
32,3,2.0,2.0,0.02631578947368418,0.02631578947368418,0.02631578947368418,0.02,6,6,6
32,4,2.0,2.0,0.052631578947368474,0.052631578947368474,0.052631578947368474,0.02,"7,8,9",7,9
32,5,2.0,3.0,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.02,10,10,10
32,6,3.0,3.0,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.02,"11,12",11,12
32,7,3.0,4.0,0.13157894736842102,0.13157894736842102,0.13157894736842102,0.02,13,13,13
32,8,4.0,4.0,0.13157894736842102,0.13157894736842102,0.13157894736842102,0.02,14,14,14
